post,topic,audience
"@abbvie [Video description: On-screen text reads, ""Dermatology News.""]",company announcement // general disease info / awareness,all
We’re sharing new data in #vitiligo at #EADV2023. Read more: https://t.co/PDCvF9WPwS https://t.co/iHLGxA1bf3,company announcement // research & publications,all
90% of all sight loss is preventable or treatable – and regular eye checks can help preserve #vision. We’re proud to partner with the @IAPB1 for #WorldSightDay and support the #LoveYourEyes pledge: https://t.co/Xho05T8tr9 https://t.co/tSbsnJlIyx,partnership // general disease info / awareness,all
We‘re presenting our latest #AtopicDermatitis data at #EADV2023 to support long-term care for adults and adolescents 12 years and older. Explore: https://t.co/sBoj6Qb4A0 https://t.co/OD9sOdqObS,company announcement // research & publications,all
"At #WSC2023, we’re presenting new data on movement disorders like post-stroke #spasticity. If you’re onsite, join our symposium to learn about the importance of early identification and intervention. https://t.co/8ZBc7P0Sqi",company announcement // conferenes & outreach,all
"Leveraging our years of research in #MentalHealth, we’re working to answer complex questions and solve the most difficult challenges for patients living with conditions such as #BipolarDisorder and #depression. Learn how: https://t.co/zbfFyx2aN0 #WMHD2023 https://t.co/Ra37LVPEiv",company announcement // general disease info / awareness,all
@abbvie [“…to better serve and address the unmet needs of these patient communities.”],company announcement // motivation & support,all
"[Video description: Mudra Kapoor, VP, Immunology, Global Medical Affairs at AbbVie, says, “At AbbVie, we continue to innovate, work to advance standards of care and improve scientific understanding of these conditions…”]",partnership // general disease info / awareness,all
"What does a patient-centered approach to research look like? See how we aim to deliver transformative therapies for patients with immune-mediated diseases, including those in #dermatology: https://t.co/Y1BjYakTTA #EADVCongress https://t.co/2iKaOFtAm9",company announcement // motivation & support,all
"@abbvie [Video description: On-screen text reads, “23 accepted abstracts; 11 oral data presentations; 1 late breaker.”]",company announcement // research & publication,all
"During #UEGWeek, we’re presenting the latest data from our #gastroenterology portfolio to showcase our commitment to research in IBD and relentless quest to elevate standards of care for patients. Learn more: https://t.co/xYvaq2IZZA https://t.co/YrBpRtpXxA",company announcement // conferences & outreach,all
"At #iwCLL2023, we’re presenting our latest chronic lymphocytic leukemia (#CLL) research as we strive to bridge the gap between science and real-world impact. Learn more: https://t.co/vas5uBx7jZ https://t.co/tYvGiHhmek",company announcement // conferences & outreach,all
"[Video description: Sofie Berg, Head of Gastroenterology, Global Medical Affairs at AbbVie, highlights AbbVie’s upcoming presence at UEG Week.]",company announcement // conferences & outreach,all
"As goals for #IBD management continue to evolve, we’re pushing the boundaries in #gastroenterology research and aiming for more stringent endpoints. Learn more about our work in immunology: https://t.co/8BzGSV3QTB #UEGWeek https://t.co/DnHgD8VX2T",company announcement // conferences & outreach,all
"@abbvie [Video description: On-screen text reads, “Neuroscience News.”]",company announcement // conferences & outreach,all
NEWS: We’ve acquired Mitokinin to continue strengthening our #neuroscience portfolio. Learn more: https://t.co/go4eIkxLNX https://t.co/gt2WDXCbC3,company announcement // patent,all
"[Image description: On-screen text reads, ""Discovery Research News. AbbVie drug discovery and preclinical data published in the journal Nature, in partnership with the Broad Institute and Calico Life Sciences. Click to read more.""]",partnership // research & publication,all
.@Nature recently published our findings with the @broadinstitute and @calico on a research strategy for #cancer immunotherapy based on preclinical findings. Learn more about this research: https://t.co/vblYzsbKbl,company announcement // research & publication,all
@abbvie [Video description: AbbVie employees share what disability inclusion in the workplace means to them.],company announcement // new hire / employee update,all
"@bepplen5 Hi @bepplen5, we saw your tweet and would like to connect. Can you DM us with more information?",company announcement // other,all
"To recognize National Disability Employment Awareness Month, hear members of our Ability employee resource group share why disability inclusion is important to them and our workplace. #NDEAM #BelongAtAbbVie https://t.co/Ppd7CzW0jG",company announcement // other,all
"[Video description: On-screen text reads, “Migraine can affect many aspects of a person’s life, including education, relationships, mental health and work.”]",company announcement // general disease info / awareness,all
"More than half of people living with #migraine report a 50% or more reduction in work and/or school productivity. Through education and partnerships with the migraine community, we strive to help patients navigate these barriers. #MigraineAwarenessWeek https://t.co/Q2AE3dzDqM",company announcement // motivation & support,all
Many people live with the uncertainty of #migraine daily. That’s why we’re establishing a migraine-friendly workplace for our employees. Explore: https://t.co/FmGfkRJJ7Y #MigraineAwarenessWeek https://t.co/UEF8nENdsv,company announcement // new hire / employee update,all
"@abbvie [""...I've diversified my experiences to make me a more competitive candidate for future roles.""]",company announcement // new hire / employee update,all
"[Video description: Stephanie Pulliam, Alabama A&M University and Meharry Medical College, Marketing Manager, New Product Planning, AbbVie, says, ""AbbVie has influenced my career trajectory immensely. Networking and learning are highly encouraged. Through these connections...""]",partnership // general disease info / awareness,all
"Read what Stephanie Pulliam, HBCU alumnus and marketing manager, new product planning, values about her #career growth and development with us. If you’re an #HBCUGrad interested to learn more, see our open roles: https://t.co/NNycYL7Xw3 #BelongAtAbbVie #HBCUWeek https://t.co/qnZhlAtnfR",company announcement // conferences & outreach,all
"During our recent panel session at the @CBCFInc's #ALC52, we asked if clinical research partnerships can move the needle on #HealthEquity. Our panelists' thoughts? “Yes.” Swipe to see some of their responses and learn about our #JourneyToADMIRE: https://t.co/eomJoreBbZ",company announcement // conferences & outreach,all
"[Image description: On-screen text reads, ""Who may be affected by migraine? More than one billion people worldwide. 3x more women than men. Migraine can be hereditary, and it's estimated that up to 60% of the reason people get migraine is because of their genes.""]",company announcement // general disease info / awareness,all
"Did you know #migraine is one of the highest causes of disability for people under age 50? During #MigraineAwarenessWeek, learn about the global impact of this disease and our focus on preserving personhood. https://t.co/Bakk1MhO60",company announcement // motivation & support,all
"@abbvie [Video description: On-screen text reads, “Oncology News, European Commission Approval.”]",company announcement // patent,all
"NEWS: The @EU_Commission has approved our therapy for relapsed/refractory diffuse large B-cell #lymphoma (#DLBCL), developed in partnership with @Genmab. Learn more: https://t.co/5q8bZ7TFya https://t.co/3hsIkDAnEX",company announcement // patent,all
"[Video description: Animation of cells and a scientist. On-screen text reads, ""Oncology research is in a renaissance. In less than 30 years, survival rates have nearly doubled for some blood cancers...""]",company announcement // motivation & support,all
"@abbvie [""...And tomorrow's treatments can help take us even further. See what scientists are working on next.""]",company announcement // motivation & support,all
"[Video description: On-screen text reads, “Symptoms of MDS may include: fatigue, shortness of breath, paleness, easy bruising or bleeding and frequent infections.”]",company announcement // general diease info / awareness,all
How are our #scientists changing the treatment paradigm in #BloodCancer? By focusing on how we can strengthen patient impact. See what’s next. https://t.co/tld2qvWAvq https://t.co/B0bpOPRSNQ,company announcement // motivation & support,all
"Myelodysplastic syndromes (#MDS) are an often unrecognized, under-diagnosed rare group of bone marrow failure disorders. Explore the causes and symptoms: https://t.co/PDMRgnzeTX @MDSFoundation #BloodCancerAwarenessMonth https://t.co/AYKdh7MC3Q",company announcement // general diease info / awareness,all
Exciting news: We’ve been named one of the #BestWorkplaces in Europe for the 10th year in a row by @GPTW_US. See why: https://t.co/2M9xjNh6Sz #AbbVieLife #GPTWCertified https://t.co/pS3VxTNEuR,company announcement // new hire / employee update,all
@abbvie [Video description: Salvatore Leone emphasizes the importance of monitoring in IBD care.],company announcement // general disease info / awareness,all
"Holistic monitoring can help #gastroenterologists identify optimal care options for patients with #IBD. Salvatore Leone, CEO of the Italian IBD Patient Association (AMICI Onlus), explains this further. Watch more: https://t.co/5uqkqkg7Q9 https://t.co/7HGM3hgAaK",partnership // research & publication,all
Exciting news: We’ve been named a @Seramount Top Company for Executive Women for the 6th year. Learn more about this recognition of our women leaders and their impact in our organization: https://t.co/zpk5cjWbF2 #BelongAtAbbVie #SeramountWomEx https://t.co/aHn8rLh529,company announcement // new hire / employee update,all
@abbvie [Video description: Blood cancer patient Ben looks at the camera.],company announcement // motivation and support,all
#BloodCancer patients like Ben have witnessed a #treatment renaissance. See what it’s meant for him: https://t.co/ceJ7Pp8XXz https://t.co/PRrpTQsU6s,company announcement // motivation & support,all
"Kim Ribeiro, our head of diversity & patient inclusion, is hosting a panel discussion on clinical research partnerships at the @CBCFInc Annual Legislation Conference. Learn more about our work forging a more inclusive future via #JourneyToADMIRE: https://t.co/Fi4JcFml3E #ALC52 https://t.co/w0useqsBBD",company announcement // conferences & outreach,all
Thanks to @FortuneMagazine and @GPTW_US for naming us one of the #BestWorkplaces in Biopharma six years in a row. Learn more about this recognition: https://t.co/oF2z4BpMGv #AbbVieLife #GPTWCertified https://t.co/JH0WSoJCg7,company announcement // conference & outreach,all
@abbvie [Video description: Dr. Schick explains different options for monitoring IBD symptoms.],company announcement // general disease info / awareness,all
"Dr. Schick, a #gastroenterologist in Germany, offers insight into some #IBD symptoms doctors can monitor with their patients to get a full picture of the disease. Watch to hear more: https://t.co/E1p2vgKN4D https://t.co/KhegAibERU",company announcement // general diesase info / awareness,HCP / Clinical / R&D
@abbvie [Video description: AbbVie employees around the world share what it means to be Latinx/Hispanic.],company announcement // new hire / employee update,all
"To recognize #HispanicHeritageMonth, hear members of our AHORA employee resource group share what being Latinx/Hispanic means to them. #BelongAtAbbVie https://t.co/vmBgylQswS",company announcement // other,all
"[Video description: Icon symbolizing a globe. On-screen text reads, “Diffuse large B-cell lymphoma cases represent about 30% of all non-Hodgkin’s lymphoma (NHL) cases worldwide, making it the most common type of NHL.”]",company announcement // general diease info / awareness,all
"This #WorldLymphomaAwarenessDay, learn how we’re working alongside the global patient advocacy community to help advance patient centricity and support people living with this #cancer across the globe: https://t.co/3piS1RTvfS https://t.co/RRq7b2JTT8",company announcement // motivation & support,all
@abbvie [Video description: People from around the world share their experiences living with atopic eczema.],company announcement // general disease info / awareness,all
Learn about the burdens of #AtopicEczema as told by six patients living with this condition around the world. Watch GlobalSkin’s (@IADPO) documentary here: https://t.co/s7oExlrOvR #IfYouOnlyKnew,company announcement // research & publication,all
"From eating symbolic meals to spending time with family and friends, swipe to see how employees within our Jewish Resource Committee celebrate the High Holidays, beginning tomorrow with #RoshHashanah. #BelongAtAbbVie",company announcement // other,all
"@abbvie [""...Our research aims to help alleviate these burdens, reinforcing our unwavering commitment to make a lasting change on patients’ lives.”]",company announcement // motivation & support,all
"[Video description: Yolanda Armendariz, Global TA Lead, Dermatology, Global Medical Affairs, says, “The burden of atopic eczema often extends beyond the skin, causing some patients to struggle with its detrimental mental health impacts...""]",company announcement // motivation & support,all
"Today is #AtopicEczemaDay. Patients worldwide are impacted by the invisible struggles of this disease, including the emotional and psychological burden. Through our research, we’re working to make a positive difference. Learn more: https://t.co/DcBRWoWeRm https://t.co/SGdhG1QvSL",company announcement // general disease info / awareness,all
@abbvie [Video description: Dr. Chen explains why IBD patients and their doctors should discuss care goals.],company announcement // general disease info / awareness,all
"Why should #gastroenterologists consider targets beyond symptom relief for #IBD patients? Dr. Chen, of the China Crohn’s & Colitis Foundation, explains the importance of aligning on ambitious care goals. Watch the full video: https://t.co/qJt85SL6l4 https://t.co/WeVwPYGstl",company announcement // motivation & support,all
"[Video description: Mariana Cota Stirner, M.D., Ph.D., VP, Hematology at AbbVie, says, “Driving cancer innovation is not only about the breakthroughs we achieve, but about how we engage with others to support blood cancer patients.”]",company announcement // motivation & support,all
Transforming #cancer care is more than research and development – it’s also working with partners and HCPs to provide patient support. Learn about our #oncology efforts this #BloodCancerAwarenessMonth: https://t.co/1nh6c4x6L0 https://t.co/HHJODrIcjg,company announcement // research & publication,all
"[Video description: On-screen text reads, “54% of patients with severe AD experience anxiety and 42% with severe AD experience depression. Patients and their doctors should have an open dialogue about AD and mental health.”]",company announcement // general disease info / awareness,all
The effects of #AtopicDermatitis (AD) go beyond the skin. Learn more from GlobalSkin (@IADPO) and the @EFA_Patients: https://t.co/IpmN3XlLUA #AtopicEczema #IfYouOnlyKnew https://t.co/L7GBiV1eNL,company announcement // general disease info / awareness,all
"[Video description: Mitchell Brin, SVP, R&D and Chief Scientific Officer, Neurotoxins, AbbVie, says, “AbbVie has been a leader in Cervical Dystonia for more than twenty years, and there is still so much more to learn about the condition...”]",partnership // research & publication,all
"@abbvie [“…There is a great unmet need, driving our researchers to further understand more about the condition and improve patient outcomes.”]",company announcement // motivation & support,all
"During the recent #MDSCongress, our team presented new research in #CervicalDystonia. Learn more about this disease and why we’re working to combat its debilitating symptoms in patients: https://t.co/sZDVmFKZDK #DystoniaAwarenessMonth https://t.co/g6TzN4t8Pk",company announcement // motivation & support,all
"@abbvie [Video description: On-screen text reads, “Immunology News.”]",company announcement // research & publication,all
NEWS: We’ve announced top-line results from a Phase 3 head-to-head study in adult patients with #CrohnsDisease. Read more: https://t.co/12uzyFFI46 https://t.co/uxmK27oZow,company announcement // research & publication,all
"@abbvie [“…listening to everyone’s thoughts and ideas, and respecting each other through effective collaboration.”]",company announcement // motivation & support,all
"[Image description: Todd Almarez, Texas A&M University, Director, Global Specialty Portfolio Lead, Global Medical Affairs, AbbVie, says, “AbbVie recognizes true collaboration and innovation begins with seeking different perspectives, allowing authenticity…”]",partnership // general disease info / awareness,all
"#HSIWeek begins tomorrow. Todd Almarez, an HSI alumnus & our director, global specialty portfolio lead, shares how diversity is celebrated & supported in our organization. If you’re an #HSIGrad interested to learn more, see our open roles: https://t.co/BI3sx3Clq6 #BelongAtAbbVie",company announcement // othera,all
"#DYK the most common type of non-Hodgkin’s lymphoma (NHL) is diffuse large B-cell lymphoma (#DLBCL), accounting for ~30% of all NHL cases worldwide? Learn about our commitment to NHL patients: https://t.co/32sxIrHLFF https://t.co/YgoJljqBl9",company announcement // general diease info / awareness,all
"@abbvie [Video description: Fernanda Rombino, Immunology Director of AbbVie in Brazil, highlights the multifaceted impact of atopic dermatitis.]",partnership // research & publication,all
How does #AtopicDermatitis affect patients beyond itchy skin? Discover the holistic impact of this disease and what we’re doing to drive innovation forward in #immunology. https://t.co/ADDA0uZe5g https://t.co/PB7nu6ZDBt,company announcement // research & publication,all
"[Video description: On-screen text reads, “NBMBAA 45th Annual Conference, September 12-16, 2023, Philidelphia, PA. Angie Madison, Director, Talent Acquisition & Diversity Hiring Enablement, AbbVie.” Angie invites congress attendees to stop by AbbVie’s onsite events.]",company announcement // conferenes & outreach,all
Reminder to @nbmbaahq conference attendees: Register for our onsite events for the opportunity to hear from some of our senior leaders and meet with employees: https://t.co/OK7C2wbgOh #BlackMBAFWD23 https://t.co/RFyf0judRf,company announcement // conferenes & outreach,all
"[Video description: On-screen text reads, “What is the second most common form of blood cancer across the world? Potential answers include chronic lymphocytic leukemia, acute myeloid leukemia, multiple myeloma, myelofibrosis. Correct answer is multiple myeloma.”]",company announcement // general disease info / awareness,all
Nearly 160K people are diagnosed with #MultipleMyeloma (MM) worldwide each year. Advancing research for those impacted by MM is one of our oncology focus areas. Learn more about this disease from @IMFmyeloma: https://t.co/SkPvGofmgJ #MMsm #BloodCancerAwarenessMonth https://t.co/XLomalVxCw,company announcement // research and publications,patients/caregivers
"1 in every 8 people globally live with a mental illness, according to the @WHO. We’re at #PsychCongress2023 this week discussing the latest research around #MentalHealth. Explore how our scientists are committed to improving patient outcomes: https://t.co/tNnGw037IE https://t.co/9imxh2kZ0P",company announcement // general disease info / awareness,all
"[Video description: Mariana Nelson, Director, Medical Affairs, Neuroscience at AbbVie, says, “There is more work to be done to dig deeper and to find answers. Cervical Dystonia is a debilitating disorder…”]",company announcement // motivation & support,all
@abbvie [“…and getting appropriate care requires education for both patients and providers.”],company announcement // motivation & support,all
"Due to varying symptoms and lack of clinical testing, #CervicalDystonia can take 3 to 5 years to diagnose. Our research aims to further understand this rare neurological condition causing pain and cramping in the neck. Explore: https://t.co/sEn6qIDGlW #DystoniaAwarenessMonth https://t.co/pqb61RCWRD",company announcement // general disease info / awareness,all
"@abbvie [Video description: Christina Pelizon, Medical Director of AbbVie in Canada, lists the multifaceted impact of atopic eczema.]",partnershiphip / organizational update // general disease info / awareness,all
"#DYK 42% of patients with severe #AtopicEczema can experience depression? Christina Pelizon, Medical Director of AbbVie in Canada, lists some of the ways this disease impacts more than skin. https://t.co/5Dny5tILgj",company announcement // general disease info / awareness,all
@Habitat_org Proud to support Habit for Humanity’s hurricane recovery program in Puerto Rico.,company announcement // other,all
"@DirectRelief Proud to be the founding partner of Direct Relief’s Fund for Health Equity, which is supporting community-based organizations, like Aaron E. Henry Community Health Center, that are focused on advancing health equity.",partnership // general disease info / awareness,all
Increased education and awareness of #leukemia can help lead to better patient outcomes. Learn how you can support our partners @AcuteLeuk and @CLLAdvocates’ efforts on #WorldLeukemiaDay: https://t.co/sq1gTyBMCO #WLD23 https://t.co/mq7ZZjAsmI,partnership // general disease info / awareness,all
"[Video description: On-screen text reads, “NBMBAA 45th Annual Conference, September 12-16, 2023, Philadelphia, PA. Medgar Williams, VP, General Medicine, Metabolics, AbbVie.” Medgar invites potential attendees to visit AbbVie’s exhibition booth.]",company announcement // conferences & outreach,all
"Attending @nbmbaahq's annual conference this month? Stop by Booth 527 to meet with some of our employees, including Medgar Williams, VP of General Medicine, Metabolics. Sign up for our onsite events to discuss #career opportunities: https://t.co/RdWDIOmJS7 #BlackMBAFWD23 https://t.co/6poVTNHUpd",company announcement // conferenes & outreach,all
"On #WorldCLLDay, join us in recognizing our advocacy partner CLL Advocates Network and their important work supporting chronic lymphocytic leukemia (#CLL) patients and caregivers. Learn more: https://t.co/1bIREuFdMY https://t.co/ZfaxPOyTwT",partnership // general disease info / awareness,all
"[Video description: Maurizio Facheris, Global Development Lead, Neuroscience Development, AbbVie, says, “Our neuroscience research is dedicated to improving the lives of those living with and impacted by neurologic disorders, such as Parkinson’s disease…”]",company announcement // conferences & outreach,all
@abbvie [“…Our mission is to preserve personhood and help people regain and maintain their independence.”],partnership // general disease info / awareness,all
"During the @movedisorder Congress, we’re sharing new data in #ParkinsonsDisease. Learn how we work tirelessly to bring innovative approaches to those living with this condition: https://t.co/fnEFmFj4On #MDS2023 https://t.co/uHFcsRPkcG",company announcement // motivation & support,all
[“…ON time is when symptoms are controlled. OFF time is when PD symptoms are uncontrolled. OFF time can be unpredictable and symptoms can return at any time.”],company announcement // motivation & support,all
"[Video description: On-screen text lists key motor and non-motor symptoms of Parkinson’s disease. Text continues, “As Parkinson’s disease progresses, PD is frequently talked about in terms of ‘on’ and ‘off’ time...”]",company announcement // general disease info / awareness,all
Those living with #ParkinsonsDisease (PD) and their doctors both aim to achieve more “on” time. This can mean more symptom relief and more time with friends and family. #MDSCongress https://t.co/ThncjRQMMv,company announcement // motivation & support,all
"@abbvie [Video description: On-screen text reads, “Immunology News.”]",company announcement // research & publication,all
JUST IN: We’ve submitted regulatory applications to the @US_FDA and @EMA_News for an investigational treatment in #UlcerativeColitis. Learn more: https://t.co/xL0dh87MZN https://t.co/oZYw37EDiy,company announcement // patent,all
"[Video description: On-screen text reads, “Sharing 19 abstracts supporting Parkinson’s disease, post-stroke spasticity and cervical dystonia.”]",company announcement // motivation & support,all
"Members of our neuroscience team are at the @movedisorder Congress, sharing the latest research in #ParkinsonsDisease, spasticity and #CervicalDystonia. Learn more about our work: https://t.co/e9C85ipzvl #MDSCongress #MoveDisorder https://t.co/kNQJoGb0ac",company announcement // conferences & outreach,all
"On #WomensEqualityDay, we celebrate all the women who enable us to make a real difference in people’s lives – from creating medicines and solutions for patients, to supporting our communities worldwide. #BelongAtAbbVie https://t.co/cgIkaJ9duC",company announcement // other,all
"@nicolemark_ Hi Nicole, We saw your tweet and would like to connect. We'll send you a DM with more information.",partnership // other,all
@GeorgeMonks11 Happy to hear we were able to assist.,company announcement // other,all
"@DavidStMartinMA @DavidStMartinMA Hi David, we saw your tweet and wanted to reach out. We will follow up with you via direct message to better assist.",partnership // other,all
"@austinfish Hi Julia, we saw your tweet and would like to connect. Can you please DM us with more information so we can better assist?",partnership // other,all
"@TennantRob Hi TennantRob, we saw your tweet and want to connect. Can you please follow us so we can DM you with further assistance?",company announcement // other,all
"@ElizabethMarter Hi, Elizabeth, We saw your tweet and wanted to reach out. Please DM us with more information so we can better assist.",company announcement // other,all
"@abbvie [Video description: On-screen text reads, “Neuroscience News: EMA Approval.”]",company announcement // patent,all
NEWS: The @EMA_News has approved our latest therapy for the preventive treatment of #migraine in adults. Learn more: https://t.co/lpSiee5DYs https://t.co/qMhwUUzaqT,company announcement // patent,all
[Image description: Collection of photos including a mother and child smiling together; Chamas members in Kenya gathering for a guided discussion; Chamas members pooling their money to invest in each other; A group of chamas members smiling together.],company announcement // other,all
"How does a pilot program for expectant mothers with @AMPATHKenya become a global model empowering women economically? Through a decade-long #partnership with the AbbVie Foundation, see how @AMPATHGlobal is scaling ""Chamas for Change."" #health #education",partnership // general disease info / awareness,all
"[Video description: On-screen text reads, “ALPFA 2023 National Convention, August 20-24, 2023. Erika Casillas, Immunology Forecasting Manager, AbbVie.” Erika invites potential attendees to AbbVie’s career fair booth.]",company announcement // conferenes & outreach,all
"Attending #ALPFACon2023? Register in advance to meet and #network with our employees like Erika Casillas, Chapter President of @alpfa Chicago. More: https://t.co/RnCmoBP264 https://t.co/bBkvZkUZAw",company announcement // conferenes & outreach,all
@abbvie [Video description: Members of the oncology team at AbbVie share thoughts about working in a collaborative culture and team environment.],partnership // research & publication,all
What makes our culture feel like a community? Members of our #oncology team explain. Learn how you can join this team by exploring our open roles: https://t.co/TToxPtTd69 #AbbVieLife https://t.co/vQTMBfTpU4,company announcement // conferences & outreach,all
"#ESG at AbbVie is about helping patients today while building a #sustainable tomorrow. Read more in our SVP of Corporate Responsibility, Brand & Communications’ Q&A with @TheAtlantic. https://t.co/RXWwpve0pl",partnership // general disease info / awareness,all
"Deadline reminder for U.S. #nonprofits: Our Employee Resource Group community grants, funded by the AbbVie Foundation, are accepting applications through Fri., Aug. 11. Learn more and apply here: https://t.co/F1xAYljYrk https://t.co/yfGfmFnMAs",partnership // general disease info / awareness,all
"This year’s @FortuneMagazine #Global500 list is out, and we’re pleased to be ranked within the top 250. See the full list: https://t.co/PrUGR028Yz",company announcement // other,all
Congrats to our team of scientists & partners at @EnantaPharma on receiving the 2023 Heroes of Chemistry Award for a #HepatitisC medicine - the @AmerChemSociety's highest honor for industrial chemical scientists. See how it happened: https://t.co/NEBS3HVfM6 #WorldHepatitisDay https://t.co/6F4glX66wl,partnership // other,all
@abbvie [“…to bring us one step closer to global HCV elimination.”],company announcement // motivation & support,all
"[Video description: Dimitri Semizarov, Ph.D., Therapeutic Area Lead, Global Medical Affairs, Hepatology, AbbVie, says, “Together with the global community, we’re committed to raising awareness of the importance of early diagnosis, testing and care…”]",company announcement // motivation & support,all
#NSN2023 attendees: Don’t forget to stop by Booth 510 to #network with members of our National Sales Network talent ambassador team throughout the conference. Explore our other onsite events: https://t.co/NShUOUzH0P https://t.co/4M4V85jbg2,company announcement // conferenes & outreach,all
"On #WorldHepatitisDay, join us and our global partner, @Hep_Alliance, to raise awareness of hepatitis C virus. Learn how you can support the global community in achieving the World Health Organization's 2030 #HCV elimination goal: https://t.co/7Y6AGSuIOp https://t.co/9gKcY3XJEc",partnership // general disease info / awareness,all
